TS	dims	mean	std	min	max	XYmatch
TS_026	960x928x500	-3.12e-06	0.0135	-0.188	0.403	yes
TS_027	960x928x500	7.28e-06	0.0139	-0.116	0.329	yes
TS_028	960x928x500	-1.75e-05	0.0122	-0.122	0.235	yes
TS_029	960x928x500	-2.11e-05	0.0135	-0.196	0.327	yes
TS_030	960x928x500	-5.56e-05	0.0128	-0.138	0.292	yes
TS_034	960x928x500	-3.57e-06	0.0136	-0.122	0.211	yes
TS_037	960x928x500	-9.33e-06	0.0127	-0.129	0.263	yes
TS_041	960x928x500	-3.47e-06	0.0118	-0.0851	0.138	yes
TS_043	960x928x500	-6.9e-05	0.0129	-0.116	0.197	yes
TS_045	960x928x500	-4.37e-05	0.0119	-0.108	0.181	yes
