freq_cyc_per_px	resolution_A	fsc	fsc_random	fsc_corrected
0.000000	inf	1.0000	1.0000	1.0000
0.010870	386.400	0.9999	0.9999	0.9999
0.021739	193.200	0.9982	0.9982	0.9982
0.032609	128.800	0.9978	0.9978	0.9978
0.043478	96.600	0.9959	0.9960	0.9959
0.054348	77.280	0.9965	0.9965	0.9965
0.065217	64.400	0.9931	0.9932	0.9931
0.076087	55.200	0.9916	0.9916	0.9916
0.086957	48.300	0.9917	0.9918	0.9917
0.097826	42.933	0.9912	0.9911	0.9912
0.108696	38.640	0.9899	0.9901	0.9899
0.119565	35.127	0.9851	0.9851	0.9851
0.130435	32.200	0.9858	0.9856	0.9858
0.141304	29.723	0.9783	0.9785	0.9783
0.152174	27.600	0.9552	0.9556	0.9552
0.163043	25.760	0.8870	0.8931	0.8870
0.173913	24.150	0.7500	0.7568	0.7500
0.184783	22.729	0.6336	0.4994	0.2681
0.195652	21.467	0.6380	0.4361	0.3580
0.206522	20.337	0.6212	0.3655	0.4031
0.217391	19.320	0.4689	0.3257	0.2124
0.228261	18.400	0.3874	0.2527	0.1802
0.239130	17.564	0.2329	0.2714	-0.0529
0.250000	16.800	0.1492	0.2362	-0.1139
0.260870	16.100	0.1095	0.1796	-0.0854
0.271739	15.456	0.0699	0.1554	-0.1012
0.282609	14.862	0.0750	0.1484	-0.0862
0.293478	14.311	0.1132	0.1329	-0.0228
0.304348	13.800	0.0595	0.1467	-0.1023
0.315217	13.324	0.1277	0.1625	-0.0416
0.326087	12.880	0.1283	0.1439	-0.0182
0.336957	12.465	0.1709	0.0973	0.0815
0.347826	12.075	0.2804	0.0618	0.2329
0.358696	11.709	0.2529	0.0838	0.1846
0.369565	11.365	0.3414	0.1007	0.2677
0.380435	11.040	0.3883	0.0714	0.3413
0.391304	10.733	0.4461	0.1087	0.3786
0.402174	10.443	0.4858	0.0629	0.4513
0.413043	10.168	0.5026	0.0565	0.4729
0.423913	9.908	0.4844	0.0545	0.4547
0.434783	9.660	0.4670	0.0388	0.4455
0.445652	9.424	0.3835	0.0843	0.3267
0.456522	9.200	0.3191	0.1106	0.2344
0.467391	8.986	0.2542	0.0788	0.1904
0.478261	8.782	0.2372	0.0579	0.1903
0.489130	8.587	0.2737	0.0885	0.2032
0.500000	8.400	0.2895	0.0935	0.2161
